concept_id,epi_concept,oi_or_suite_concept,owner,relation_kind,disposition,critical_non_identity,confidence
objective_internality,Human Objective Internality,Objective Internality,O:I + Epi,specialization,SPECIALISE,"Epi human model does not claim exhaustive phenomenality",high
human_identity_handle,Human identity continuity,HumanIdentity,O:I SharedField,reuse,REUSE,"HumanIdentity != Participant != Nara IdentityModel",high
human_ground,Personal human source/root,Central Control/Central root,Central,source_bridge,REUSE_BRIDGE,"Nara != Central",high
personal_ground_binding,Binding from human ground to Nara,None explicit,Epi foundation,new_relation,LIFT_EPI,"binding does not transfer source ownership",high
identity_source,Stable admitted identity evidence,Central Authored Source,Central + Epi,specialization,LIFT_EPI,"source != synthesis",high
identity_model,Integrated identity synthesis,None universal by design,Epi/Nara,new_foundation,LIFT_EPI,"identity systems/quaternions stay domain payload",high
personal_state,Stable basis + conditions + activity + composed state,Objective Internality only broadly,Epi/Nara,new_foundation,LIFT_EPI,"PersonalState != AIKit Context",high
current_condition,Transit/somatic/current condition,AIKit Context + Workcell observation,AIKit/Workcell -> Epi,input_bridge,SPECIALISE_BRIDGE,"condition != identity",high
lived_activity,Journal/dream/oracle/highlight/activity event,Artifact/Contribution/Encounter are adjacent,Epi/Nara,domain_relation,LIFT_EPI,"activity != contribution != encounter",high
episode_artifact,Nara day/episode artifact,Factory Artifact,Factory + Epi,specialization,SPECIALISE,"private artifact != shared representation",high
internality_observation,Pattern/resonance/meaning reading,Factory Evidence/Claim + QL Refraction,Epi + QL/Factory,derived_reading,LIFT_EPI,"reading != source fact != adopted identity",high
internality_proposal,Identity/internality change candidate,Central proposal + Factory Candidate,Epi + Central/Factory,convergence,LIFT_EPI,"proposal != applied mutation",high
recognition_adoption,Reviewed durable human change,Central accepted mutation + Factory Recognition,Central/Epi,authority_bridge,REUSE_BRIDGE,"source owner remains final authority",high
agent_identity,Six canonical Epi agents,Agent,Actuation,reuse,REUSE,"Agent != AgentSession != harness != package",high
situated_epi_agency,VAK/CF-localised Epi agency,Agency,Actuation,specialization,SPECIALISE,"VAK/CF not mandatory generic ontology",high
epi_actuation,Epi 0/1 reader and multi-agent composition,Actuation + Factory choreography + AIKit execution,Actuation/Factory/AIKit,composition,BRIDGE,"do not recreate generic orchestration in Epi",high
context,Epi operative context,Context,AIKit,reuse,REUSE,"Context != PersonalField != SharedField",high
matheme_profile,MathemeHarmonicProfile live state,AIKit Profile is declarative patch,Epi foundation,naming_collision,LIFT_EPI_RENAME,"MathemeProfile != AIKit Profile",high
capability_action,Epi domain operations,Capability/Action,AIKit,reuse,REUSE,"availability/body != semantic ownership",high
surface,Epi domain UI/audio/agent surfaces,Surface,AIKit,reuse,REUSE,"DomainInstrument != one Surface",high
domain_instrument,M-prime lived operational domain instrument,None exact,Epi foundation,new_foundation,LIFT_EPI,"instrument may compose many Components/Surfaces/providers",high
component,Epi instrument/render module,Component/ComponentContribution,AIKit,reuse,REUSE,"component != domain identity",high
epi_address,Bimba/M coordinate identity,Generic refs + QL positions,Epi/Bimba,new_foundation,LIFT_EPI,"coordinate != Neo4j id != URL != UI route",high
knowledge_route,Bimba relation traversal,KnowledgeRoute,AIKit,explicit_adapter,BRIDGE,"KnowledgeRoute != Bimba relation != QL formal relation",high
domain_bridge,Typed M-to-M or Bimba-to-suite semantic bridge,None universal,Epi foundation,new_foundation,LIFT_EPI,"bridge carries owner authority revision provenance",high
ql_role_binding,M/inner position binding,QL/MEF positional/refraction primitives,Quaternal Logic,reuse,REUSE,"position binding != object identity",high
mef_reading,Vimarsha/MEF reading,Refraction,Quaternal Logic,genealogical_specialization,REUSE_SPECIALISE,"refraction does not auto-promote Epi canon",high
transduction,M2-to-M3 DET and cross-register transformation,None generic required,Epi M2/M3,domain_relation,KEEP_DOMAIN_OR_LIFT_EPI,"actual 72-to-64 law stays domain-owned",medium
shared_epi_bus,8+4 audio/nodal and cross-domain profile state,None suite-equivalent,Epi foundation,new_foundation,LIFT_EPI,"provider/body != semantic bus owner",high
epi_time_address,Paramasiva tick/Mahamaya clock/Nara DAY-NOW,session time/lifecycle mechanics only,Epi foundation,new_foundation,LIFT_EPI,"wall clock/session lifecycle != harmonic/Kairos meaning",high
readiness,Epi semantic/data/audio/provider/review readiness,AIKit availability + Workcell health are adjacent,Epi foundation,composition,LIFT_EPI,"availability != semantic readiness",high
material_body,Graph/audio/render/model/service providers,Workcell materialisation,Workcell,reuse,REUSE,"provider body != semantic owner",high
development,Epi self-development/Epii work,Project/Run/RunMap,Software Factory,reuse,REUSE,"Factory mechanics != Epii purpose",high
artifact_evidence,Epi/Nara artifacts and review evidence,Artifact/Evidence,Software Factory,reuse_specialization,REUSE_SPECIALISE,"artifact != source authority",high
return,Epii/Nara/QL return,Actuation Return + Factory Recognition + QL formal return,multiple,scope_bridge,BRIDGE,"return scope and authority must be explicit",high
pratibimba,M-prime native lived reflection,Projection means something else in O:I/AIKit,Epi,semantic_distinction,KEEP_EPI,"Pratibimba != O:I Projection != AIKit Projection",high
oi_projection,Selective shared representation,Projection,O:I,reuse,REUSE,"publication does not transfer Nara/Bimba ownership",high
