id,record_type,view_id,row_id,column_id,capability_refs,need,operation,outcome,implementation_status,standing,source_refs,code_refs,test_refs,account_ref,relation,coverage,extensions
M0P-LANGUAGE,capability,,,,[],Render source-provenanced Anuttara language and canonical absence states,"Navigate, read and operate Anuttara as a source-addressed M0′ language/Bimba instrument without fabricating absent canonical content.",Render source-provenanced Anuttara language and canonical absence states,unresolved,architecture-contract,epi-m-capability-field-m0.json;epi-capability-readiness.json,,,EPI-M-CAPABILITY-FIELD.md,,,"{""capability"":{""capability_ref"":""M0P-LANGUAGE"",""m"":""M0"",""for_what"":""Render source-provenanced Anuttara language and canonical absence states"",""m_prime_operation"":""Navigate, read and operate Anuttara as a source-addressed M0′ language/Bimba instrument without fabricating absent canonical content."",""s_prime"":[""S0′ Khora"",""S1′ Hen"",""S2′ Pleroma"",""S5′ Aletheia""],""native_owners"":[""Central"",""AIKit"",""QL-MEF""],""evidence_refs"":[""OI_WORLD_RECOGNITION_185"",""AIKIT_SEMANTIC_WIKI_158""],""m_standing"":""CURRENT-DOMAIN-SPEC"",""epi_composition_standing"":""DERIVED-CURRENT-ARCHITECTURE"",""epii_on_x_ref"":""EPII_ON_M0_ANUTTARA"",""return_profile"":""M0""},""domain"":{""schema_version"":""epi-m-capability-domain/0.2"",""status"":""active-research-matrix"",""date"":""2026-09-03"",""m"":""M0"",""m_name"":""Anuttara"",""m_prime"":""M0′ Bimba / playable source-addressed language and graph instrument"",""epii_on_x"":{""ref"":""EPII_ON_M0_ANUTTARA"",""name"":""Epii-on-Anuttara"",""source"":""m5-prime-epii-on-anuttara-language-development.md"",""blob"":""a3cccc90204462ba3f7ef36f234005ffa2317269"",""standing"":""CURRENT-DOMAIN-SPEC / RESEARCH-PROPOSITION"",""developmental_law"":""Deliberate language construction/articulation; construction-not-training.""},""return"":{""target_ground"":""Anuttara/Bimba canonical source"",""recognition_owner"":""human-authored/canonical Bimba source authority through governed proposal and Recognition"",""proposal_is_not_promotion"":true}},""readiness"":{""ref"":""M0P-LANGUAGE"",""readiness"":""READY-TO-COMPOSE"",""proof"":""P1""},""evidence"":{""OI_WORLD_RECOGNITION_185"":{""standing"":""IMPLEMENTATION-FACT"",""owner"":""O:I"",""revision"":""18fd59838c63b0a2caff23e249eff24a8a0f6fc0"",""source"":""EpiLogos/O-I#185"",""relation"":""Adapter-driven World recognition discovers existing technologies, relations and owner bindings and routes missing integration to native owners without semantic takeover.""},""AIKIT_SEMANTIC_WIKI_158"":{""standing"":""IMPLEMENTATION-FACT"",""owner"":""AIKit"",""revision"":""current main at 00afe1b91f00f3881cac56459fa1cff8e7ba7183"",""source"":""EpiLogos/ai-kit#158 (closed completed)"",""relation"":""SemanticWiki/Living Knowledge/Contemplate operates canonical QL-shaped knowledge with provenance, bounded deterministic preflight, generated WikiReadings and Return; no automatic model invocation or canon promotion.""}},""standing_mapping"":{""source"":""CURRENT-DOMAIN-SPEC"",""canonical"":""architecture-contract"",""basis"":""Source domain specification role; no implementation claim.""}}"
M0P-QL-STRUCTURE,capability,,,,[],Expose family/mirror/lens/inversion pointer law and position character,"Traverse family, mirror, lens, inversion and position relations as an operative M0′ structural reading rather than isolated labels.",Expose family/mirror/lens/inversion pointer law and position character,unresolved,architecture-contract,epi-m-capability-field-m0.json;epi-capability-readiness.json,,,EPI-M-CAPABILITY-FIELD.md,,,"{""capability"":{""capability_ref"":""M0P-QL-STRUCTURE"",""m"":""M0"",""for_what"":""Expose family/mirror/lens/inversion pointer law and position character"",""m_prime_operation"":""Traverse family, mirror, lens, inversion and position relations as an operative M0′ structural reading rather than isolated labels."",""s_prime"":[""S1′ Hen"",""S2′ Pleroma"",""S4′ Anima""],""native_owners"":[""QL-MEF"",""AIKit""],""evidence_refs"":[""AIKIT_SEMANTIC_WIKI_158""],""m_standing"":""CURRENT-DOMAIN-SPEC"",""epi_composition_standing"":""DERIVED-CURRENT-ARCHITECTURE"",""epii_on_x_ref"":""EPII_ON_M0_ANUTTARA"",""return_profile"":""M0""},""domain"":{""schema_version"":""epi-m-capability-domain/0.2"",""status"":""active-research-matrix"",""date"":""2026-09-03"",""m"":""M0"",""m_name"":""Anuttara"",""m_prime"":""M0′ Bimba / playable source-addressed language and graph instrument"",""epii_on_x"":{""ref"":""EPII_ON_M0_ANUTTARA"",""name"":""Epii-on-Anuttara"",""source"":""m5-prime-epii-on-anuttara-language-development.md"",""blob"":""a3cccc90204462ba3f7ef36f234005ffa2317269"",""standing"":""CURRENT-DOMAIN-SPEC / RESEARCH-PROPOSITION"",""developmental_law"":""Deliberate language construction/articulation; construction-not-training.""},""return"":{""target_ground"":""Anuttara/Bimba canonical source"",""recognition_owner"":""human-authored/canonical Bimba source authority through governed proposal and Recognition"",""proposal_is_not_promotion"":true}},""readiness"":{""ref"":""M0P-QL-STRUCTURE"",""readiness"":""READY-TO-COMPOSE"",""proof"":""P1""},""evidence"":{""AIKIT_SEMANTIC_WIKI_158"":{""standing"":""IMPLEMENTATION-FACT"",""owner"":""AIKit"",""revision"":""current main at 00afe1b91f00f3881cac56459fa1cff8e7ba7183"",""source"":""EpiLogos/ai-kit#158 (closed completed)"",""relation"":""SemanticWiki/Living Knowledge/Contemplate operates canonical QL-shaped knowledge with provenance, bounded deterministic preflight, generated WikiReadings and Return; no automatic model invocation or canon promotion.""}},""standing_mapping"":{""source"":""CURRENT-DOMAIN-SPEC"",""canonical"":""architecture-contract"",""basis"":""Source domain specification role; no implementation claim.""}}"
M0P-RELATIONS,capability,,,,[],Inspect provenance-typed Bimba relation field,Inspect Bimba neighbourhoods as provenance-bearing relational Wiki/graph readings and return any generated relation to exact source basis.,Inspect provenance-typed Bimba relation field,unresolved,architecture-contract,epi-m-capability-field-m0.json;epi-capability-readiness.json,,,EPI-M-CAPABILITY-FIELD.md,,,"{""capability"":{""capability_ref"":""M0P-RELATIONS"",""m"":""M0"",""for_what"":""Inspect provenance-typed Bimba relation field"",""m_prime_operation"":""Inspect Bimba neighbourhoods as provenance-bearing relational Wiki/graph readings and return any generated relation to exact source basis."",""s_prime"":[""S1′ Hen"",""S2′ Pleroma"",""S5′ Aletheia""],""native_owners"":[""AIKit"",""QL-MEF""],""evidence_refs"":[""AIKIT_SEMANTIC_WIKI_158""],""m_standing"":""CURRENT-DOMAIN-SPEC"",""epi_composition_standing"":""DERIVED-CURRENT-ARCHITECTURE"",""epii_on_x_ref"":""EPII_ON_M0_ANUTTARA"",""return_profile"":""M0""},""domain"":{""schema_version"":""epi-m-capability-domain/0.2"",""status"":""active-research-matrix"",""date"":""2026-09-03"",""m"":""M0"",""m_name"":""Anuttara"",""m_prime"":""M0′ Bimba / playable source-addressed language and graph instrument"",""epii_on_x"":{""ref"":""EPII_ON_M0_ANUTTARA"",""name"":""Epii-on-Anuttara"",""source"":""m5-prime-epii-on-anuttara-language-development.md"",""blob"":""a3cccc90204462ba3f7ef36f234005ffa2317269"",""standing"":""CURRENT-DOMAIN-SPEC / RESEARCH-PROPOSITION"",""developmental_law"":""Deliberate language construction/articulation; construction-not-training.""},""return"":{""target_ground"":""Anuttara/Bimba canonical source"",""recognition_owner"":""human-authored/canonical Bimba source authority through governed proposal and Recognition"",""proposal_is_not_promotion"":true}},""readiness"":{""ref"":""M0P-RELATIONS"",""readiness"":""READY-TO-COMPOSE"",""proof"":""P1""},""evidence"":{""AIKIT_SEMANTIC_WIKI_158"":{""standing"":""IMPLEMENTATION-FACT"",""owner"":""AIKit"",""revision"":""current main at 00afe1b91f00f3881cac56459fa1cff8e7ba7183"",""source"":""EpiLogos/ai-kit#158 (closed completed)"",""relation"":""SemanticWiki/Living Knowledge/Contemplate operates canonical QL-shaped knowledge with provenance, bounded deterministic preflight, generated WikiReadings and Return; no automatic model invocation or canon promotion.""}},""standing_mapping"":{""source"":""CURRENT-DOMAIN-SPEC"",""canonical"":""architecture-contract"",""basis"":""Source domain specification role; no implementation claim.""}}"
M0P-TIME-COMMUNITY,capability,,,,[],Overlay graph/community relations and active collective NOW,Situate an M0′ Bimba neighbourhood against source freshness and the current shared-field/world-time horizon without making the overlay canonical.,Overlay graph/community relations and active collective NOW,unresolved,architecture-contract,epi-m-capability-field-m0.json;epi-capability-readiness.json,,,EPI-M-CAPABILITY-FIELD.md,,,"{""capability"":{""capability_ref"":""M0P-TIME-COMMUNITY"",""m"":""M0"",""for_what"":""Overlay graph/community relations and active collective NOW"",""m_prime_operation"":""Situate an M0′ Bimba neighbourhood against source freshness and the current shared-field/world-time horizon without making the overlay canonical."",""s_prime"":[""S3′ Chronos"",""S1′ Hen"",""S2′ Pleroma""],""native_owners"":[""AIKit"",""O:I SharedField"",""QL-MEF""],""evidence_refs"":[""AIKIT_CENTRAL_TEMPORAL_176"",""OI_SHAREDFIELD_SPACETIMEDB""],""m_standing"":""CURRENT-DOMAIN-SPEC"",""epi_composition_standing"":""DERIVED-CURRENT-ARCHITECTURE"",""epii_on_x_ref"":""EPII_ON_M0_ANUTTARA"",""return_profile"":""M0""},""domain"":{""schema_version"":""epi-m-capability-domain/0.2"",""status"":""active-research-matrix"",""date"":""2026-09-03"",""m"":""M0"",""m_name"":""Anuttara"",""m_prime"":""M0′ Bimba / playable source-addressed language and graph instrument"",""epii_on_x"":{""ref"":""EPII_ON_M0_ANUTTARA"",""name"":""Epii-on-Anuttara"",""source"":""m5-prime-epii-on-anuttara-language-development.md"",""blob"":""a3cccc90204462ba3f7ef36f234005ffa2317269"",""standing"":""CURRENT-DOMAIN-SPEC / RESEARCH-PROPOSITION"",""developmental_law"":""Deliberate language construction/articulation; construction-not-training.""},""return"":{""target_ground"":""Anuttara/Bimba canonical source"",""recognition_owner"":""human-authored/canonical Bimba source authority through governed proposal and Recognition"",""proposal_is_not_promotion"":true}},""readiness"":{""ref"":""M0P-TIME-COMMUNITY"",""readiness"":""READY-TO-COMPOSE"",""proof"":""P1""},""evidence"":{""AIKIT_CENTRAL_TEMPORAL_176"":{""standing"":""IMPLEMENTATION-FACT"",""owner"":""AIKit"",""revision"":""00afe1b91f00f3881cac56459fa1cff8e7ba7183"",""source"":""EpiLogos/ai-kit#176"",""relation"":""AIKit consumes Central-owned NOW/DAY/Flow through registered owner Actions on causal lifecycle events; orientation does not grant authority, activate capabilities or invoke a model.""},""OI_SHAREDFIELD_SPACETIMEDB"":{""standing"":""IMPLEMENTATION-FACT + OBSERVED-RESULT"",""owner"":""O:I SharedField"",""revision"":""current O:I main 18fd59838c63b0a2caff23e249eff24a8a0f6fc0; hosted Explore lineage"",""source"":""O:I SharedField/SpaceTimeDB application line; source-trace/W11 lineage"",""relation"":""Live hosted SharedField application substrate supplies common state/readings across human/desktop/Agent surfaces; hosted IDs/state do not own Epi semantic identity.""}},""standing_mapping"":{""source"":""CURRENT-DOMAIN-SPEC"",""canonical"":""architecture-contract"",""basis"":""Source domain specification role; no implementation claim.""}}"
M0P-PERSONAL-ROUTE,capability,,,,[],Route a public coordinate into eligible protected Nara context,Enter an eligible M0 address into protected M4′ lived context under explicit authority while keeping public Bimba and private Nara distinct.,Route a public coordinate into eligible protected Nara context,unresolved,architecture-contract,epi-m-capability-field-m0.json;epi-capability-readiness.json,,,EPI-M-CAPABILITY-FIELD.md,,,"{""capability"":{""capability_ref"":""M0P-PERSONAL-ROUTE"",""m"":""M0"",""for_what"":""Route a public coordinate into eligible protected Nara context"",""m_prime_operation"":""Enter an eligible M0 address into protected M4′ lived context under explicit authority while keeping public Bimba and private Nara distinct."",""s_prime"":[""S0′ Khora"",""S4′ Anima"",""S5′ Aletheia""],""native_owners"":[""Central"",""AIKit"",""Actuation"",""QL-MEF""],""evidence_refs"":[""OI_WORLD_RECOGNITION_185"",""AIKIT_CENTRAL_TEMPORAL_176""],""m_standing"":""CURRENT-DOMAIN-SPEC"",""epi_composition_standing"":""DERIVED-CURRENT-ARCHITECTURE"",""epii_on_x_ref"":""EPII_ON_M0_ANUTTARA"",""return_profile"":""M0""},""domain"":{""schema_version"":""epi-m-capability-domain/0.2"",""status"":""active-research-matrix"",""date"":""2026-09-03"",""m"":""M0"",""m_name"":""Anuttara"",""m_prime"":""M0′ Bimba / playable source-addressed language and graph instrument"",""epii_on_x"":{""ref"":""EPII_ON_M0_ANUTTARA"",""name"":""Epii-on-Anuttara"",""source"":""m5-prime-epii-on-anuttara-language-development.md"",""blob"":""a3cccc90204462ba3f7ef36f234005ffa2317269"",""standing"":""CURRENT-DOMAIN-SPEC / RESEARCH-PROPOSITION"",""developmental_law"":""Deliberate language construction/articulation; construction-not-training.""},""return"":{""target_ground"":""Anuttara/Bimba canonical source"",""recognition_owner"":""human-authored/canonical Bimba source authority through governed proposal and Recognition"",""proposal_is_not_promotion"":true}},""readiness"":{""ref"":""M0P-PERSONAL-ROUTE"",""readiness"":""READY-TO-COMPOSE"",""proof"":""P1""},""evidence"":{""OI_WORLD_RECOGNITION_185"":{""standing"":""IMPLEMENTATION-FACT"",""owner"":""O:I"",""revision"":""18fd59838c63b0a2caff23e249eff24a8a0f6fc0"",""source"":""EpiLogos/O-I#185"",""relation"":""Adapter-driven World recognition discovers existing technologies, relations and owner bindings and routes missing integration to native owners without semantic takeover.""},""AIKIT_CENTRAL_TEMPORAL_176"":{""standing"":""IMPLEMENTATION-FACT"",""owner"":""AIKit"",""revision"":""00afe1b91f00f3881cac56459fa1cff8e7ba7183"",""source"":""EpiLogos/ai-kit#176"",""relation"":""AIKit consumes Central-owned NOW/DAY/Flow through registered owner Actions on causal lifecycle events; orientation does not grant authority, activate capabilities or invoke a model.""}},""standing_mapping"":{""source"":""CURRENT-DOMAIN-SPEC"",""canonical"":""architecture-contract"",""basis"":""Source domain specification role; no implementation claim.""}}"
M0P-PEDAGOGY-ROUTE,capability,,,,[],Route a canonical coordinate into Epii teaching/review context,"Open a canonical M0 coordinate as teachable/reviewable M5′ material with exact source trace, current context and governed Return.",Route a canonical coordinate into Epii teaching/review context,unresolved,architecture-contract,epi-m-capability-field-m0.json;epi-capability-readiness.json,,,EPI-M-CAPABILITY-FIELD.md,,,"{""capability"":{""capability_ref"":""M0P-PEDAGOGY-ROUTE"",""m"":""M0"",""for_what"":""Route a canonical coordinate into Epii teaching/review context"",""m_prime_operation"":""Open a canonical M0 coordinate as teachable/reviewable M5′ material with exact source trace, current context and governed Return."",""s_prime"":[""S1′ Hen"",""S4′ Anima"",""S5′ Aletheia""],""native_owners"":[""AIKit"",""Factory"",""QL-MEF"",""Central""],""evidence_refs"":[""AIKIT_SEMANTIC_WIKI_158"",""FACTORY_JOURNEY_176""],""m_standing"":""CURRENT-DOMAIN-SPEC"",""epi_composition_standing"":""DERIVED-CURRENT-ARCHITECTURE"",""epii_on_x_ref"":""EPII_ON_M0_ANUTTARA"",""return_profile"":""M0""},""domain"":{""schema_version"":""epi-m-capability-domain/0.2"",""status"":""active-research-matrix"",""date"":""2026-09-03"",""m"":""M0"",""m_name"":""Anuttara"",""m_prime"":""M0′ Bimba / playable source-addressed language and graph instrument"",""epii_on_x"":{""ref"":""EPII_ON_M0_ANUTTARA"",""name"":""Epii-on-Anuttara"",""source"":""m5-prime-epii-on-anuttara-language-development.md"",""blob"":""a3cccc90204462ba3f7ef36f234005ffa2317269"",""standing"":""CURRENT-DOMAIN-SPEC / RESEARCH-PROPOSITION"",""developmental_law"":""Deliberate language construction/articulation; construction-not-training.""},""return"":{""target_ground"":""Anuttara/Bimba canonical source"",""recognition_owner"":""human-authored/canonical Bimba source authority through governed proposal and Recognition"",""proposal_is_not_promotion"":true}},""readiness"":{""ref"":""M0P-PEDAGOGY-ROUTE"",""readiness"":""READY-TO-COMPOSE"",""proof"":""P1""},""evidence"":{""AIKIT_SEMANTIC_WIKI_158"":{""standing"":""IMPLEMENTATION-FACT"",""owner"":""AIKit"",""revision"":""current main at 00afe1b91f00f3881cac56459fa1cff8e7ba7183"",""source"":""EpiLogos/ai-kit#158 (closed completed)"",""relation"":""SemanticWiki/Living Knowledge/Contemplate operates canonical QL-shaped knowledge with provenance, bounded deterministic preflight, generated WikiReadings and Return; no automatic model invocation or canon promotion.""},""FACTORY_JOURNEY_176"":{""standing"":""IMPLEMENTATION-FACT"",""owner"":""Software Factory"",""revision"":""current main at 7e8fadea5156d75eb872f55f4fd4938d47fb0648"",""source"":""EpiLogos/agent-system-design#176 (closed completed)"",""relation"":""Commission/Journey/Run carries developmental continuity and evidence while Actuation owns Agency/authority/Return, AIKit operative body/context and Workcell material placement.""}},""standing_mapping"":{""source"":""CURRENT-DOMAIN-SPEC"",""canonical"":""architecture-contract"",""basis"":""Source domain specification role; no implementation claim.""}}"
M1P-CANONICAL-SOURCE,capability,,,,[],"Expose immutable harmonic, matrix and Hopf source facts",Address and inspect the canonical M1 mathematical/harmonic substrate from M1′ without allowing explanatory or model outputs to replace executable authority.,"Expose immutable harmonic, matrix and Hopf source facts",unresolved,architecture-contract,epi-m-capability-field-m1.json;epi-capability-readiness.json,,,EPI-M-CAPABILITY-FIELD.md,,,"{""capability"":{""capability_ref"":""M1P-CANONICAL-SOURCE"",""m"":""M1"",""for_what"":""Expose immutable harmonic, matrix and Hopf source facts"",""m_prime_operation"":""Address and inspect the canonical M1 mathematical/harmonic substrate from M1′ without allowing explanatory or model outputs to replace executable authority."",""s_prime"":[""S0′ Khora"",""S1′ Hen"",""S2′ Pleroma""],""native_owners"":[""QL-MEF"",""AIKit""],""evidence_refs"":[""QLMEF_CURRENT_KERNEL""],""m_standing"":""CURRENT-DOMAIN-SPEC"",""epi_composition_standing"":""DERIVED-CURRENT-ARCHITECTURE"",""epii_on_x_ref"":""EPII_ON_M1_PARAMASIVA"",""return_profile"":""M1""},""domain"":{""schema_version"":""epi-m-capability-domain/0.2"",""status"":""active-research-matrix"",""date"":""2026-09-03"",""m"":""M1"",""m_name"":""Paramaśiva"",""m_prime"":""M1′ relational / harmonic instrument"",""epii_on_x"":{""ref"":""EPII_ON_M1_PARAMASIVA"",""name"":""Epii-on-Paramaśiva"",""source"":""m5-prime-epii-on-paramasiva-ql-cpt-and-rag.md"",""blob"":""df9a75b806ea68b525871c63c43c968c57570698"",""standing"":""CURRENT-DOMAIN-SPEC / RESEARCH-PROPOSITION"",""developmental_law"":""Foundational-derivational CPT + RAG; model is articulating voice, executable matheme remains authority.""},""return"":{""target_ground"":""Paramaśiva formal/matheme source"",""recognition_owner"":""QL-MEF formal source authority with human authorial ratification for canonical change"",""proposal_is_not_promotion"":true}},""readiness"":{""ref"":""M1P-CANONICAL-SOURCE"",""readiness"":""READY-TO-COMPOSE""},""evidence"":{""QLMEF_CURRENT_KERNEL"":{""standing"":""CURRENT-DEVELOPMENT"",""owner"":""QL-MEF"",""revision"":""590ea5464e0b422beaddea2669039e3d8c7fcb5c"",""source"":""QL-MEF current main plus current subsystem matrix/kernel carriers"",""relation"":""Current QL/MEF/Vāk/kernel owner supplies formal relations and domain instrument substrate; each capability-specific implementation/observed-result claim still requires exact native proof when promoted.""}},""standing_mapping"":{""source"":""CURRENT-DOMAIN-SPEC"",""canonical"":""architecture-contract"",""basis"":""Source domain specification role; no implementation claim.""}}"
M1P-INSTANCE,capability,,,,[],"Hold bounded session walk, coordinate and lens/mode state","Maintain a bounded M1′ traversal instance with coordinate, lens/mode, actor, phase and Return provenance across session/body changes.","Hold bounded session walk, coordinate and lens/mode state",unresolved,architecture-contract,epi-m-capability-field-m1.json;epi-capability-readiness.json,,,EPI-M-CAPABILITY-FIELD.md,,,"{""capability"":{""capability_ref"":""M1P-INSTANCE"",""m"":""M1"",""for_what"":""Hold bounded session walk, coordinate and lens/mode state"",""m_prime_operation"":""Maintain a bounded M1′ traversal instance with coordinate, lens/mode, actor, phase and Return provenance across session/body changes."",""s_prime"":[""S0′ Khora"",""S3′ Chronos"",""S4′ Anima""],""native_owners"":[""AIKit"",""Actuation"",""QL-MEF""],""evidence_refs"":[""OI_WORLD_RECOGNITION_185"",""AIKIT_CONTEXT_COMPOSITION""],""m_standing"":""CURRENT-DOMAIN-SPEC"",""epi_composition_standing"":""DERIVED-CURRENT-ARCHITECTURE"",""epii_on_x_ref"":""EPII_ON_M1_PARAMASIVA"",""return_profile"":""M1""},""domain"":{""schema_version"":""epi-m-capability-domain/0.2"",""status"":""active-research-matrix"",""date"":""2026-09-03"",""m"":""M1"",""m_name"":""Paramaśiva"",""m_prime"":""M1′ relational / harmonic instrument"",""epii_on_x"":{""ref"":""EPII_ON_M1_PARAMASIVA"",""name"":""Epii-on-Paramaśiva"",""source"":""m5-prime-epii-on-paramasiva-ql-cpt-and-rag.md"",""blob"":""df9a75b806ea68b525871c63c43c968c57570698"",""standing"":""CURRENT-DOMAIN-SPEC / RESEARCH-PROPOSITION"",""developmental_law"":""Foundational-derivational CPT + RAG; model is articulating voice, executable matheme remains authority.""},""return"":{""target_ground"":""Paramaśiva formal/matheme source"",""recognition_owner"":""QL-MEF formal source authority with human authorial ratification for canonical change"",""proposal_is_not_promotion"":true}},""readiness"":{""ref"":""M1P-INSTANCE"",""readiness"":""READY-TO-COMPOSE""},""evidence"":{""OI_WORLD_RECOGNITION_185"":{""standing"":""IMPLEMENTATION-FACT"",""owner"":""O:I"",""revision"":""18fd59838c63b0a2caff23e249eff24a8a0f6fc0"",""source"":""EpiLogos/O-I#185"",""relation"":""Adapter-driven World recognition discovers existing technologies, relations and owner bindings and routes missing integration to native owners without semantic takeover.""},""AIKIT_CONTEXT_COMPOSITION"":{""standing"":""IMPLEMENTATION-FACT"",""owner"":""AIKit"",""revision"":""00afe1b91f00f3881cac56459fa1cff8e7ba7183"",""source"":""AIKit current main; canonical Skill→Method→SkillSet→Context lineage"",""relation"":""AIKit owns Context, Capability, Skill/Method, model/harness, SessionSpace and Surface composition used by Epi without becoming the Epi semantic owner.""}},""standing_mapping"":{""source"":""CURRENT-DOMAIN-SPEC"",""canonical"":""architecture-contract"",""basis"":""Source domain specification role; no implementation claim.""}}"
M1P-HARMONIC-ENGINE,capability,,,,[],Render Ananda matrix families and profile-driven harmonic state,Play and inspect the M1′ harmonic instrument from canonical matrix/profile state through currently available compute/material bodies.,Render Ananda matrix families and profile-driven harmonic state,unresolved,architecture-contract,epi-m-capability-field-m1.json;epi-capability-readiness.json,,,EPI-M-CAPABILITY-FIELD.md,,,"{""capability"":{""capability_ref"":""M1P-HARMONIC-ENGINE"",""m"":""M1"",""for_what"":""Render Ananda matrix families and profile-driven harmonic state"",""m_prime_operation"":""Play and inspect the M1′ harmonic instrument from canonical matrix/profile state through currently available compute/material bodies."",""s_prime"":[""S2′ Pleroma"",""S3′ Chronos"",""S4′ Anima""],""native_owners"":[""QL-MEF"",""AIKit"",""Workcell""],""evidence_refs"":[""QLMEF_CURRENT_KERNEL"",""WORKCELL_MATERIAL_BODY""],""m_standing"":""CURRENT-DOMAIN-SPEC"",""epi_composition_standing"":""DERIVED-CURRENT-ARCHITECTURE"",""epii_on_x_ref"":""EPII_ON_M1_PARAMASIVA"",""return_profile"":""M1""},""domain"":{""schema_version"":""epi-m-capability-domain/0.2"",""status"":""active-research-matrix"",""date"":""2026-09-03"",""m"":""M1"",""m_name"":""Paramaśiva"",""m_prime"":""M1′ relational / harmonic instrument"",""epii_on_x"":{""ref"":""EPII_ON_M1_PARAMASIVA"",""name"":""Epii-on-Paramaśiva"",""source"":""m5-prime-epii-on-paramasiva-ql-cpt-and-rag.md"",""blob"":""df9a75b806ea68b525871c63c43c968c57570698"",""standing"":""CURRENT-DOMAIN-SPEC / RESEARCH-PROPOSITION"",""developmental_law"":""Foundational-derivational CPT + RAG; model is articulating voice, executable matheme remains authority.""},""return"":{""target_ground"":""Paramaśiva formal/matheme source"",""recognition_owner"":""QL-MEF formal source authority with human authorial ratification for canonical change"",""proposal_is_not_promotion"":true}},""readiness"":{""ref"":""M1P-HARMONIC-ENGINE"",""readiness"":""EPI-GAP""},""evidence"":{""QLMEF_CURRENT_KERNEL"":{""standing"":""CURRENT-DEVELOPMENT"",""owner"":""QL-MEF"",""revision"":""590ea5464e0b422beaddea2669039e3d8c7fcb5c"",""source"":""QL-MEF current main plus current subsystem matrix/kernel carriers"",""relation"":""Current QL/MEF/Vāk/kernel owner supplies formal relations and domain instrument substrate; each capability-specific implementation/observed-result claim still requires exact native proof when promoted.""},""WORKCELL_MATERIAL_BODY"":{""standing"":""IMPLEMENTATION-FACT"",""owner"":""Workcell"",""revision"":""25792dc3aa8e4c54088c0696cee00f8efefe03ad"",""source"":""Workcell current main"",""relation"":""Workcell owns material provider/body/process/service conditions; material identity remains distinct from Agent, capability and Epi semantic identity.""}},""standing_mapping"":{""source"":""CURRENT-DOMAIN-SPEC"",""canonical"":""architecture-contract"",""basis"":""Source domain specification role; no implementation claim.""}}"
M1P-SPANDA,capability,,,,[],"Enact profile/tick-driven phase, pulsation and inversion",Carry M1′ pulsation as a provenance-bearing phase/tick/inversion process available to the active Context Frame rather than renderer-local time.,"Enact profile/tick-driven phase, pulsation and inversion",unresolved,architecture-contract,epi-m-capability-field-m1.json;epi-capability-readiness.json,,,EPI-M-CAPABILITY-FIELD.md,,,"{""capability"":{""capability_ref"":""M1P-SPANDA"",""m"":""M1"",""for_what"":""Enact profile/tick-driven phase, pulsation and inversion"",""m_prime_operation"":""Carry M1′ pulsation as a provenance-bearing phase/tick/inversion process available to the active Context Frame rather than renderer-local time."",""s_prime"":[""S3′ Chronos"",""S2′ Pleroma"",""S4′ Anima""],""native_owners"":[""QL-MEF"",""AIKit""],""evidence_refs"":[""QLMEF_CURRENT_KERNEL""],""m_standing"":""CURRENT-DOMAIN-SPEC"",""epi_composition_standing"":""DERIVED-CURRENT-ARCHITECTURE"",""epii_on_x_ref"":""EPII_ON_M1_PARAMASIVA"",""return_profile"":""M1""},""domain"":{""schema_version"":""epi-m-capability-domain/0.2"",""status"":""active-research-matrix"",""date"":""2026-09-03"",""m"":""M1"",""m_name"":""Paramaśiva"",""m_prime"":""M1′ relational / harmonic instrument"",""epii_on_x"":{""ref"":""EPII_ON_M1_PARAMASIVA"",""name"":""Epii-on-Paramaśiva"",""source"":""m5-prime-epii-on-paramasiva-ql-cpt-and-rag.md"",""blob"":""df9a75b806ea68b525871c63c43c968c57570698"",""standing"":""CURRENT-DOMAIN-SPEC / RESEARCH-PROPOSITION"",""developmental_law"":""Foundational-derivational CPT + RAG; model is articulating voice, executable matheme remains authority.""},""return"":{""target_ground"":""Paramaśiva formal/matheme source"",""recognition_owner"":""QL-MEF formal source authority with human authorial ratification for canonical change"",""proposal_is_not_promotion"":true}},""readiness"":{""ref"":""M1P-SPANDA"",""readiness"":""EPI-GAP""},""evidence"":{""QLMEF_CURRENT_KERNEL"":{""standing"":""CURRENT-DEVELOPMENT"",""owner"":""QL-MEF"",""revision"":""590ea5464e0b422beaddea2669039e3d8c7fcb5c"",""source"":""QL-MEF current main plus current subsystem matrix/kernel carriers"",""relation"":""Current QL/MEF/Vāk/kernel owner supplies formal relations and domain instrument substrate; each capability-specific implementation/observed-result claim still requires exact native proof when promoted.""}},""standing_mapping"":{""source"":""CURRENT-DOMAIN-SPEC"",""canonical"":""architecture-contract"",""basis"":""Source domain specification role; no implementation claim.""}}"
