id,record_type,view_id,row_id,column_id,capability_refs,need,operation,outcome,implementation_status,standing,source_refs,code_refs,test_refs,account_ref,relation,coverage,extensions
M0->M0,relation,relations,M0,M0,[],,,,,agent-inference,grounding|M/M′ Seeds,,,,self:Anuttara,I,"{""id"":""M0->M0"",""src_product"":""Anuttara"",""dst_product"":""Anuttara"",""ql"":"""",""coverage"":""I"",""cf_view"":""CF1"",""seam"":""self:Anuttara"",""defined_in"":""grounding|M/M′ Seeds"",""tracked_by"":""QL-MEF#25;QL-MEF#30;QL-MEF#33"",""standing_mapping"":{""source"":""not specified by source CSV"",""canonical"":""agent-inference"",""basis"":""Unclassified source relation; no authority promotion.""}}"
M0->M1,relation,relations,M0,M1,[],,,,,agent-inference,grounding|M/M′ Seeds|epi-mmprime-relations.json,,,,01:source-mathematical,H,"{""id"":""M0->M1"",""src_product"":""Anuttara"",""dst_product"":""Paramasiva"",""ql"":""A1"",""coverage"":""H"",""cf_view"":""CF2"",""seam"":""01:source-mathematical"",""defined_in"":""grounding|M/M′ Seeds|epi-mmprime-relations.json"",""tracked_by"":""QL-MEF#25;QL-MEF#30;QL-MEF#33;QL-MEF#31"",""standing_mapping"":{""source"":""not specified by source CSV"",""canonical"":""agent-inference"",""basis"":""Unclassified source relation; no authority promotion.""}}"
M0->M2,relation,relations,M0,M2,[],,,,,agent-inference,grounding|M/M′ Seeds|epi-mmprime-relations.json,,,,02:source-correspondential,S,"{""id"":""M0->M2"",""src_product"":""Anuttara"",""dst_product"":""Parashakti"",""ql"":"""",""coverage"":""S"",""cf_view"":""CF3"",""seam"":""02:source-correspondential"",""defined_in"":""grounding|M/M′ Seeds|epi-mmprime-relations.json"",""tracked_by"":""QL-MEF#25;QL-MEF#30;QL-MEF#33"",""standing_mapping"":{""source"":""not specified by source CSV"",""canonical"":""agent-inference"",""basis"":""Unclassified source relation; no authority promotion.""}}"
M0->M3,relation,relations,M0,M3,[],,,,,agent-inference,grounding|M/M′ Seeds|epi-mmprime-relations.json,,,,03:source-symbolic,S,"{""id"":""M0->M3"",""src_product"":""Anuttara"",""dst_product"":""Mahamaya"",""ql"":"""",""coverage"":""S"",""cf_view"":""CF4"",""seam"":""03:source-symbolic"",""defined_in"":""grounding|M/M′ Seeds|epi-mmprime-relations.json"",""tracked_by"":""QL-MEF#25;QL-MEF#30;QL-MEF#33"",""standing_mapping"":{""source"":""not specified by source CSV"",""canonical"":""agent-inference"",""basis"":""Unclassified source relation; no authority promotion.""}}"
M0->M4,relation,relations,M0,M4,[],,,,,agent-inference,grounding|M/M′ Seeds|epi-mmprime-relations.json,,,,04:source-personal,S,"{""id"":""M0->M4"",""src_product"":""Anuttara"",""dst_product"":""Nara"",""ql"":"""",""coverage"":""S"",""cf_view"":""CF5/CF6-field"",""seam"":""04:source-personal"",""defined_in"":""grounding|M/M′ Seeds|epi-mmprime-relations.json"",""tracked_by"":""QL-MEF#25;QL-MEF#30;QL-MEF#33;QL-MEF#35"",""standing_mapping"":{""source"":""not specified by source CSV"",""canonical"":""agent-inference"",""basis"":""Unclassified source relation; no authority promotion.""}}"
M0->M5,relation,relations,M0,M5,[],,,,,agent-inference,grounding|M/M′ Seeds|epi-mmprime-relations.json,,,,05/50:source-return,H,"{""id"":""M0->M5"",""src_product"":""Anuttara"",""dst_product"":""Epii"",""ql"":""B3|C1"",""coverage"":""H"",""cf_view"":""CF7"",""seam"":""05/50:source-return"",""defined_in"":""grounding|M/M′ Seeds|epi-mmprime-relations.json"",""tracked_by"":""QL-MEF#25;QL-MEF#30;QL-MEF#33;QL-MEF#37;QL-MEF#31"",""standing_mapping"":{""source"":""not specified by source CSV"",""canonical"":""agent-inference"",""basis"":""Unclassified source relation; no authority promotion.""}}"
M0->M0′,relation,relations,M0,M0′,[],,,,,agent-inference,grounding|M/M′ Seeds|epi-mmprime-relations.json,,,,conjugation:Anuttara,H,"{""id"":""M0->M0′"",""src_product"":""Anuttara"",""dst_product"":""Anuttara"",""ql"":""D1"",""coverage"":""H"",""cf_view"":""CF1"",""seam"":""conjugation:Anuttara"",""defined_in"":""grounding|M/M′ Seeds|epi-mmprime-relations.json"",""tracked_by"":""QL-MEF#25;QL-MEF#30;QL-MEF#34;QL-MEF#31"",""standing_mapping"":{""source"":""not specified by source CSV"",""canonical"":""agent-inference"",""basis"":""Unclassified source relation; no authority promotion.""}}"
M0->M1′,relation,relations,M0,M1′,[],,,,,agent-inference,grounding|M/M′ Seeds,,,,01:source-mathematical,H,"{""id"":""M0->M1′"",""src_product"":""Anuttara"",""dst_product"":""Paramasiva"",""ql"":""D2-transform"",""coverage"":""H"",""cf_view"":""CF2"",""seam"":""01:source-mathematical"",""defined_in"":""grounding|M/M′ Seeds"",""tracked_by"":""QL-MEF#25;QL-MEF#30;QL-MEF#34;QL-MEF#31"",""standing_mapping"":{""source"":""not specified by source CSV"",""canonical"":""agent-inference"",""basis"":""Unclassified source relation; no authority promotion.""}}"
M0->M2′,relation,relations,M0,M2′,[],,,,,agent-inference,grounding|M/M′ Seeds,,,,02:source-correspondential,L,"{""id"":""M0->M2′"",""src_product"":""Anuttara"",""dst_product"":""Parashakti"",""ql"":"""",""coverage"":""L"",""cf_view"":""CF3"",""seam"":""02:source-correspondential"",""defined_in"":""grounding|M/M′ Seeds"",""tracked_by"":""QL-MEF#25;QL-MEF#30;QL-MEF#34"",""standing_mapping"":{""source"":""not specified by source CSV"",""canonical"":""agent-inference"",""basis"":""Unclassified source relation; no authority promotion.""}}"
M0->M3′,relation,relations,M0,M3′,[],,,,,agent-inference,grounding|M/M′ Seeds,,,,03:source-symbolic,L,"{""id"":""M0->M3′"",""src_product"":""Anuttara"",""dst_product"":""Mahamaya"",""ql"":"""",""coverage"":""L"",""cf_view"":""CF4"",""seam"":""03:source-symbolic"",""defined_in"":""grounding|M/M′ Seeds"",""tracked_by"":""QL-MEF#25;QL-MEF#30;QL-MEF#34"",""standing_mapping"":{""source"":""not specified by source CSV"",""canonical"":""agent-inference"",""basis"":""Unclassified source relation; no authority promotion.""}}"
