L0	Quaternal	A	Articulation	Why|What|How|Whom/Which/When|Where/Why-for|Why-so/Why-not
L0'	Archetypal-Numerical	A	Articulation	One/Unity|Two/Duality|Three/Triad|Four/Quaternity|Five/Pentad|Six/Hexad
L1	Causal	B	Encounter	Svātantrya|Material cause|Efficient cause|Formal cause|Final cause|Icchā Śakti / Will
L1'	Phenomenal	B	Encounter	Introversion|Sensation|Feeling|Thinking|Intuition|Extroversion
L2	Logical	C	Becoming	Tetralemmaic ground|IS|IS-NOT|BOTH|NEITHER|SILENCE
L2'	Alchemical-Elemental	C	Becoming	Aether|Earth|Water|Air|Fire|Salt
L3	Processual	C	Becoming	Concrescent desire|Actual occasion|Ingression|Eternal objects|Community integration|Satisfaction/Perishing
L3'	Chronological	C	Becoming	Spirit (Geist)|Spring|Summer|Autumn|Winter|Life (Aufhebung)
L4	Phenomenological	B	Encounter	Sein (Being)|Geworfenheit (Thrownness)|Dasein (Being-there)|Zeit (Temporality)|Besorge (Care)|Gelassenheit (Releasement)
L4'	Scientific	B	Encounter	Prompts|Traces|Challenges|Patterns|Discovery|Insight
L5	Para Vāk	A	Articulation	Anuttara/Asambhava|Para Vāk|Paśyantī|Madhyamā|Vaikharī|Mātṛkā
L5'	Divine Logos	A	Articulation	Arche|Apokalypsis|Dynamis|Sophia|Parousia|Epi-Logos
