id,record_type,view_id,row_id,column_id,capability_refs,need,operation,outcome,implementation_status,standing,source_refs,code_refs,test_refs,account_ref,relation,coverage,extensions,question
cap.ql.cli-discovery,capability,,,,[],Find a usable operation,ql capabilities and version,Versioned command and kernel/service inventory,implemented; selected native tests passed 2026-09-06,agent-inference,../github-recovery-mirror/mirror/QL-MEF/issues/87.json,crates/ql-cli/src/lib.rs,crates/ql-cli/src/lib.rs,ql.html#q1/product,,,"{""basis"": ""Source-recovered capability account; original verification limits retained in Markdown."", ""cli_commands"": [""kernel.capabilities"", ""matheme.derive"", ""matheme.shadow"", ""kernel.apply"", ""mef.lenses"", ""context-frame.list"", ""vak.capabilities"", ""vak.locate"", ""vak.context"", ""service.capabilities"", ""service.negotiate"", ""verify""], ""cli_exposure"": {""kind"": ""direct"", ""reason"": ""The native capabilities response advertises this complete emitted command catalog.""}, ""converted_from_sha256"": ""86d000724352ae0b39b4a596596bd181b78a9f5b53435404b7d851d90e22920a"", ""maintenance"": {""change_refs"": [""codex:thread:01a07608-d2ec-7b10-9713-74c445adf8a5"", ""QL-MEF#87"", ""QL-MEF:agent/ql-multi-matrix-profile""], ""code_basis"": {""crates/ql-cli/src/lib.rs"": ""012922d73ae798df7ea3a88ba3194c9e7987c9c96525c395892aabbe3e28a215""}, ""updated_at"": ""2026-09-08""}, ""last_reconciled_at"": ""2026-09-08T10:44:17.878137+00:00""}",
cap.ql.kernel-operators,capability,,,,[],Obtain a reproducible structural result,ql kernel apply; apply_operator,Typed result with input/output and operation version,implemented; selected native tests passed 2026-09-06,agent-inference,docs/HOLOGRAPHIC-KERNEL-FORMAL-REFERENCE.md,crates/ql-core/src/apply.rs,crates/ql-core/tests/operator_invariants.rs,ql.html#q1/kernel,,,"{""basis"": ""Source-recovered capability account; original verification limits retained in Markdown."", ""cli_commands"": [""kernel.capabilities"", ""kernel.apply""], ""cli_exposure"": {""kind"": ""direct"", ""reason"": ""The CLI reports kernel operations and applies advertised deterministic address operators.""}, ""converted_from_sha256"": ""86d000724352ae0b39b4a596596bd181b78a9f5b53435404b7d851d90e22920a"", ""maintenance"": {""change_refs"": [""codex:thread:01a07608-d2ec-7b10-9713-74c445adf8a5"", ""QL-MEF#87""], ""code_basis"": {""crates/ql-core/src/apply.rs"": ""20db087667368b6e80541792105408b72f595b6a9611557628b3b2f2a4380bd1""}, ""updated_at"": ""2026-09-06""}, ""last_reconciled_at"": ""2026-09-06T14:30:24.557139+00:00""}",
cap.ql.pairing,capability,,,,[],Distinguish constructions with coincident vertices,A/B/C pairing and D1/D2/D3 completion,Pair family and derivation retained,implemented; selected native tests passed 2026-09-06,agent-inference,docs/HOLOGRAPHIC-KERNEL-FORMAL-REFERENCE.md,crates/ql-core/src/pairing.rs,crates/ql-core/tests/pairing_grammar.rs,ql.html#q1/kernel,,,"{""basis"": ""Source-recovered capability account; original verification limits retained in Markdown."", ""cli_commands"": [], ""cli_exposure"": {""kind"": ""library"", ""reason"": ""Pair-family construction is implemented through the ql-core library; the CLI does not emit a pairing command.""}, ""converted_from_sha256"": ""86d000724352ae0b39b4a596596bd181b78a9f5b53435404b7d851d90e22920a"", ""maintenance"": {""change_refs"": [""codex:thread:01a07608-d2ec-7b10-9713-74c445adf8a5"", ""QL-MEF#87""], ""code_basis"": {""crates/ql-core/src/pairing.rs"": ""480e0ec36ed4a5fe6cbe14d3a91af71cf32772a3ef7c6dd30257af47be975df9""}, ""updated_at"": ""2026-09-06""}, ""last_reconciled_at"": ""2026-09-06T14:30:24.557139+00:00""}",
cap.ql.shape,capability,,,,[],Work with the actual available structure,QlShape and versioned shape contracts,Valid partials; 4x4/6x6 and relational-sixfold fields,implemented; selected native tests passed 2026-09-06,agent-inference,fixtures/kernel/ql-shape-contract-v1.json,crates/ql-core/src/shape.rs,crates/ql-core/tests/wiki_structural_contract.rs,ql.html#q3/structure,,,"{""basis"": ""Source-recovered capability account; original verification limits retained in Markdown."", ""cli_commands"": [], ""cli_exposure"": {""kind"": ""library"", ""reason"": ""QlShape contracts are native library APIs; the CLI does not emit a shape command.""}, ""converted_from_sha256"": ""86d000724352ae0b39b4a596596bd181b78a9f5b53435404b7d851d90e22920a"", ""maintenance"": {""change_refs"": [""codex:thread:01a07608-d2ec-7b10-9713-74c445adf8a5"", ""QL-MEF#87""], ""code_basis"": {""crates/ql-core/src/shape.rs"": ""d08444485d431fe75e85c9d7e81078d9e44c132acdcdf4afe7326990d9dcaa8b""}, ""updated_at"": ""2026-09-06""}, ""last_reconciled_at"": ""2026-09-06T14:30:24.557139+00:00""}",
cap.ql.lens-registry,capability,,,,[],Inspect available lenses before reading,ql mef lenses; MEF registry,Twelve lens identities with face and square,implemented; selected native tests passed 2026-09-06,agent-inference,skills/ql-foundations/SKILL.md,crates/ql-mef/src/registry.rs,crates/ql-mef/tests/identity_and_provenance.rs,ql.html#q1/readings,,,"{""basis"": ""Source-recovered capability account; original verification limits retained in Markdown."", ""cli_commands"": [""mef.lenses""], ""cli_exposure"": {""kind"": ""direct"", ""reason"": ""The CLI emits the MEF lens registry.""}, ""converted_from_sha256"": ""86d000724352ae0b39b4a596596bd181b78a9f5b53435404b7d851d90e22920a"", ""maintenance"": {""change_refs"": [""codex:thread:01a07608-d2ec-7b10-9713-74c445adf8a5"", ""QL-MEF#87""], ""code_basis"": {""crates/ql-mef/src/registry.rs"": ""646385949853bd05f2b9daac49539f07147f1ccf65d591290d4e3533434ceef7""}, ""updated_at"": ""2026-09-06""}, ""last_reconciled_at"": ""2026-09-06T14:30:24.557139+00:00""}",
cap.ql.context-frames,capability,,,,[],Select a defined cut of a relation,ql context-frame list; ContextFrameId,Named CF1-CF7 grammar and selected/unselected partitions,implemented; selected native tests passed 2026-09-06,agent-inference,docs/HOLOGRAPHIC-KERNEL-FORMAL-REFERENCE.md,crates/ql-mef/src/context_frame.rs,crates/ql-mef/tests/context_frame_promotion.rs,ql.html#q1/readings,,,"{""basis"": ""Source-recovered capability account; original verification limits retained in Markdown."", ""cli_commands"": [""context-frame.list""], ""cli_exposure"": {""kind"": ""direct"", ""reason"": ""The CLI emits the named Context Frame registry.""}, ""converted_from_sha256"": ""86d000724352ae0b39b4a596596bd181b78a9f5b53435404b7d851d90e22920a"", ""maintenance"": {""change_refs"": [""codex:thread:01a07608-d2ec-7b10-9713-74c445adf8a5"", ""QL-MEF#87""], ""code_basis"": {""crates/ql-mef/src/context_frame.rs"": ""cd4b2fef86a3f8b604b0048608d5946543ac2ce3cb6786c5272a744a6cc1b15c""}, ""updated_at"": ""2026-09-06""}, ""last_reconciled_at"": ""2026-09-06T14:30:24.557139+00:00""}",
cap.ql.external-frame,capability,,,,[],Compare a domain composition with formal context,External Context Frame reading,Exact partial ambiguous or no reading with mapping provenance,implemented; selected native tests passed 2026-09-06,agent-inference,../github-recovery-mirror/mirror/QL-MEF/issues/66.json,crates/ql-mef/src/context_frame_target.rs,crates/ql-mef/tests/context_frame_external_reading.rs,ql.html#q3/identity,,,"{""basis"": ""Source-recovered capability account; original verification limits retained in Markdown."", ""cli_commands"": [], ""cli_exposure"": {""kind"": ""library"", ""reason"": ""External Context Frame readings are library contracts; the CLI does not emit an external-frame command.""}, ""converted_from_sha256"": ""86d000724352ae0b39b4a596596bd181b78a9f5b53435404b7d851d90e22920a"", ""maintenance"": {""change_refs"": [""codex:thread:01a07608-d2ec-7b10-9713-74c445adf8a5"", ""QL-MEF#87""], ""code_basis"": {""crates/ql-mef/src/context_frame_target.rs"": ""0394a6f9604024ce2d92908d6950c289b454d771e5a4b26536d2ce6754fb3b9c""}, ""updated_at"": ""2026-09-06""}, ""last_reconciled_at"": ""2026-09-06T14:30:24.557139+00:00""}",
cap.ql.vak-source,capability,,,,[],Keep research language attributable,ql vak locate,Source-locked entry with coordinate and provenance,implemented; selected native tests passed 2026-09-06,agent-inference,../github-recovery-mirror/mirror/QL-MEF/issues/87.json,crates/ql-mef/src/vak.rs,crates/ql-cli/src/lib.rs,ql.html#q1/readings,,,"{""basis"": ""Source-recovered capability account; original verification limits retained in Markdown."", ""cli_commands"": [""vak.capabilities"", ""vak.locate""], ""cli_exposure"": {""kind"": ""direct"", ""reason"": ""The CLI reports and locates source-locked Vāk entries.""}, ""converted_from_sha256"": ""86d000724352ae0b39b4a596596bd181b78a9f5b53435404b7d851d90e22920a"", ""maintenance"": {""change_refs"": [""codex:thread:01a07608-d2ec-7b10-9713-74c445adf8a5"", ""QL-MEF#87""], ""code_basis"": {""crates/ql-mef/src/vak.rs"": ""6345a97753399a325c0a3b7f821ebf67b552888445fb0d13410b6177f0d63de7""}, ""updated_at"": ""2026-09-06""}, ""last_reconciled_at"": ""2026-09-06T14:30:24.557139+00:00""}",
cap.ql.vak-context,capability,,,,[],Recover relevant formulation relationships,ql vak context with depth zero through two,Bounded source entries and relations,implemented; selected native tests passed 2026-09-06,agent-inference,../github-recovery-mirror/mirror/QL-MEF/issues/87.json,crates/ql-cli/src/lib.rs,crates/ql-cli/src/lib.rs,ql.html#q4/deployment,,,"{""basis"": ""Source-recovered capability account; original verification limits retained in Markdown."", ""cli_commands"": [""vak.context""], ""cli_exposure"": {""kind"": ""direct"", ""reason"": ""The CLI emits bounded source-locked Vāk context readings.""}, ""converted_from_sha256"": ""86d000724352ae0b39b4a596596bd181b78a9f5b53435404b7d851d90e22920a"", ""maintenance"": {""change_refs"": [""codex:thread:01a07608-d2ec-7b10-9713-74c445adf8a5"", ""QL-MEF#87"", ""QL-MEF:agent/ql-multi-matrix-profile""], ""code_basis"": {""crates/ql-cli/src/lib.rs"": ""012922d73ae798df7ea3a88ba3194c9e7987c9c96525c395892aabbe3e28a215""}, ""updated_at"": ""2026-09-08""}, ""last_reconciled_at"": ""2026-09-08T10:44:17.878137+00:00""}",
cap.ql.service-negotiation,capability,,,,[],Know what a provider can actually supply,ql service capabilities/negotiate; QlService,Support deterministic flag and provider state,implemented contracts; source-inspected 2026-09-06; provider/runtime acceptance not exercised,agent-inference,skills/ql-operation/SKILL.md,crates/ql-service/src/negotiation.rs,crates/ql-service/tests/provider_service.rs,ql.html#q1/services,,,"{""basis"": ""Source-recovered capability account; original verification limits retained in Markdown."", ""cli_commands"": [""service.capabilities"", ""service.negotiate""], ""cli_exposure"": {""kind"": ""direct"", ""reason"": ""The CLI reports provider state and negotiates the advertised service operations.""}, ""converted_from_sha256"": ""86d000724352ae0b39b4a596596bd181b78a9f5b53435404b7d851d90e22920a"", ""maintenance"": {""change_refs"": [""codex:thread:01a07608-d2ec-7b10-9713-74c445adf8a5"", ""QL-MEF#87""], ""code_basis"": {""crates/ql-service/src/negotiation.rs"": ""a06f9a97dbe4bafcca41575ea2909acea9770554f35f4581b2515badf6edf79e""}, ""updated_at"": ""2026-09-06""}, ""last_reconciled_at"": ""2026-09-06T14:30:24.557139+00:00""}",
